"SP2_ball_received_T","dv1_OE_game_satisfaction","dv1_oe_playtime_satisfaction","dv1_oe_earnings_satisfaction","dv1_oe_treasurer_behavior","dv1_oe_sp2_behavior","dv1_oe_message_to_treasurer","exp_condition"
"12","I am not because the treasurer kept throwing the ball to player 2 and he kept throwing it back and never threw it back to me which was not fun because I could do nothing to influence what was happening and I just had to watch. I thought about throwing to player 2 but since they did not throw to me, I did the same","Not at all, I watched more than I played and I could not influence the game in any shape or form. The game was purely based on what the treasurer decided to do so no skill really involved which made it difficult to play because I could not help my odds in the game no matter what I tried","I am considering how the game went, the rules of the game were laid out and I knew my influence in the game would be limited so with my input I think the money I made matches up with how much I actually did, to get paid more when I spent most of my time watching would not be fair","I initially thought it would have been more balanced but again I understood the rules before starting the game so wished it would have went differently but knew the treasurer was in control so I waited for my turn. Would have loved more time to play so hopefully next time I do","I would behaved differently because I would have made sure the game was somewhat equal and not ended up playing by myself so it would been fair for both players. There was a point where player 2 was over double my points and still did not pass so that is not something I would have done","I would mainly ask why they leaned more towards player 2 and did not play it fair for both, it was extremely one sided so that was disappointing but again it was part of the game so it made it a bit interesting. The one sided nature of the game made it hard to pass the ball between player 1 and 2",3
"8","Yes it was fair and I felt I had a fair chance to take part, succeed and earn. I received the same number of opportunities and the same number of points as player two, resulting in the same earnings. I was happy to be an equal with them in this game.","Yes I was happy to have the same number of opportunities as player 2, it was a very fair game and we ended up with an equal score and equal earnings. I feel I got to play as much as possible without taking chances away from the second player either","Yes I'm satisfied, as the game was fair between myself and the second player. The fact that it ended in equal earnings seemed about the best possible outcome to me so I was happy with the result. I did not want to take money away from another player, I thought it was right that the game was fair.","I felt the treasurer made the right decision to split the opportunities to play equally and I appreciated the way they managed the game. I don't wish they had done anything differently because I liked the outcome of the game and that was mainly due to the decisions made by the treasurer.","They played according to the rules of the game, I'm not sure what else they would have done. I would say it met my expectations but I don't have strong feelings about the actions of player 2 as they were playing to earn their own points, and given the fair nature of the game that was as expected.","I appreciated having as equal a chance as player two, and the way the treasurer managed the game was very professional and fair. I was glad that they included us equally. I was happy to have an equal earning at the end of the game thanks to the treasurer's choices.",1
"10","The treasurer seemed to have a preference or favorite, he passed the ball to player two much more than passing it to player one, which if player two hadn't passed it to me as many times as he did I would have ended up with much less in the end result.","Sure it ended up alright, I got to play as much as the other player due to the decisions of the other player to pass it to me multiple times resulting in me making as much as he did, had he not done that i wouldn't have got to play much at all.","Yeah I ended up making the same as the other player, which works out due to him deciding to even the playing field by passing it to me many times making up for how infrequently the treasurer passed it to be by the end of the game, I am satisfied.","Definitely favored or preferred the other player, I wasn't expecting that but it's just a game in the end and since it ended up the way it did I'm pretty happy with the end result due to the other player including me as much as the treasurer didn't include me.","I think he played in a way that made it more fair for me, otherwise I would have made much less than he did in that game, so I am grateful to him for making the games end result more fair for me since the treasurer seemed to be playing unfairly","Seemed like he had a preference but it's fine since player two passed it to me a few times, he passed the ball many more times to player two than to myself, player one. It definitely effected my potential to make more in the end result which is unfortunate but fine.",4
"8","I am satisfied with how the game went. The other player and I ended up with the same number of points, which I consider to be fair. I was perplexed why the treasurer passed the ball more often to player 2, but player 2 was willing to pass me the ball so I could score as many points as them, which I appreciated.","I am satisfied with how much I got to play. Player 2 was willing to pass me the ball with no benefit to them so that I could get a score equal to theirs. Otherwise, I would not have gotten to play very much since the treasurer was not passing me the ball as often.","I am ambivalent about how much money I made. 40 cents is not that much money. I appreciated that Player 2 was willing to pass me the ball so I could make more money. I would have been more dissatisfied if they had made much more money than I did.","I did not like the behavior of the treasurer because they did not pass me the ball an equitable amount of times as they did to Player 2. It did not meet my expectations because I expected them to pass to me the same number of times as the other player. I wish they had done that instead of me having to rely on the other player to pass to me so I could score.","I liked how the other player behaved during the game. It was generous of them to pass the ball to me when there was no benefit to themselves. That was the only way I could score an equal number of points as them, since the treasurer was not passing to me. I did not expect them to do that and there is not anything I wish they had done differently.","I would ask the treasurer why they did not pass the ball to me the same number of times that they passed it to player 2. It affected me by making me rely on player 2 to give up points by passing to me, when the treasurer could have just passed to me on their own.",4
"8","Yes, I am happy and satisfied as I got the ball more than SP2, which was nice, and I always passed it back to the treasurer. I was curious to see if the SP2 would ever have passed me the ball out of a trust excercise but he never did. Overall really good made more money than SP2.","Yes I am happy with how much I played, I got the ball 9 times making 45 cents and each time I passed it to the treasurer. Maybe I would have hoped to get the ball 1 more time to make it an even 50 cents rather than a 45 cents bonus.","Yes I am happy with the money I made, I thought I was going to earn less money (by like 10-15 cents) than I initially did but the treasurer was nice and gave me more of the ball. Happy relative to SP2 who only got 15 cents in the end due to me sacrificng 5 cents.","Very very happy as he gave me more of the ball so I was able to make more money. Now, was this fair? Probabaly not but thas life I guess and it benefited me so I liked it most definitely. Maybe I would have passed the ball to SP2 to see how he would have reacted.","Honestly, I was curious to see if SP2 would pass the ball to me which he never did, fair enough as I never did as well. SP2 played the logical game of always passing back to the treasuer to maximise his money earnt during the excercise, exactly the same type of thinking I employed.","I would first thank them for giving me more of the ball throughout the game and it affected me positively not only financially but also emotionally I felt happy that I was gaining more money. I would ask why he gave me more of the ball simply out of sheer curiosity.",1
"12","I'm not satisfied with the how the game went for me because it was unfair that the Treasurer threw the ball to SP2 more often than they did to me. If they had thrown the ball more often to me, I would have had the chance to make more money. ","I'm not satisfied with how much I got to play because the Treasurer threw the ball to the other player too often which made it so I couldn't play much at all. This was extremely unfair and made the game no worthwhile for me to play. That treasurer should be replaced. ","No, I'm not satisfied with how much money I made. I could have made more if the Treasurer had thrown the ball to me more often so I'd have a fair chance to throw it back and make more money. Plus, SP2 could have helped me make more money by throwing the ball to me. ","I dislike how the treasurer behaved. They didn't meet my expectations. I wish they had thrown the ball to me more often because this would have been more fair to me. I expected them to be more fair since I would think they were chosen as the treasurer because they were smarter in a way than the standard players. ","I blame SP2 for taking every chance they could to make more money. I generally don't like how they behaved because I probably wouldn't have done the same thing. Their behavior met my expectations because many people are that selfish that they'd keep all of the money for themselves as much as possible. I wish they had thrown me the ball more often. ","You played an unfair game by throwing the ball to SP2 more often than to me. Someone else who plays fairly should be the treasurer instead of you. As the treasurer, you don't have the right to be careless and immature. You should be forced to treat both players equally. ",3
"8","I'm very satisfied with the game as it seemed like the amount of times that the treasurer passed the ball to both me and the other player was equal and fair. It was very easy to understand the dynamic of all the players and seemed like all players did well.","Yes, I am satisfied with how much I got to play because it didn't seem like I was excluded or irrelevant to the game. The game felt like all players were treated with the same amount of chances to get the ball, and I got to play the same amount as the other player.","Yes I was satisfied with the amount of money I made because it seemed like a fair and good amount of money that I made, and was the same as the other player. I'm satisfied and feel like it went the best it could and took all the chances to earn extra money that I could.","The behaviour of the treasurer was favourable to me, as they seemed equal and did their job in a fair way that meant no player was excluded and had the same amount of choices. I didn't have too many previous expectations but it was definitely a positive experience and there is nothing I wished had been done differently.","I didn't take much notice of SP2 as I was concentrated on my own job and felt like we were just playing the same game with the same goal but not as competition, however, I didn't dislike their behaviour as they seemed to behave as I did with my character and didn't do anything that I also didn't do.","I would say to the treasurer that I am glad they played the game in the way they did and it was a fair game between them and me and the other player. nothing they did affected me in a negative way and they made the game a pleasant experience to play. ",1
"8","Yes, the game was fair and even. SP2 and I received the ball an equal amount of times so left it open for us to earn equal amounts on the task. The game was simple and easy to play and understand and keep up with the rules and the score. ","Yes, again it was fair and even. I received the ball an equal amount of times as SP2 so that made it equitable. I wasn't bored for long waiting to recieve the ball and there weren't lenghty times when I was doing nothing waiting to recieve the ball or feeling left out of the game.","I am satisified with the amount of money I earned as it was equally distributed between myself and SP2. I think this was fair considering the game is based on the decisions of the treasurer which could be entirely random and was beyond the control of both SP1 and SP2.  ","I like how they behaved as they passed the ball to both myself and SP2 an equal amount of times. The seemed fair and appropriate as it gave both players an opportunity to earn equal amuonts of money and didn't show favourism from the treasurer for one player over the other. ","SP2s behaviour in the game seemed fine. They didn't do anything unexpected or untoward. They appeared to play in an even manner and passed to the treasurer only. I did not expect them to pass the ball to me as they would not earn any bonus money in doing so. ","You played the game fairly and gave both myself and SP2 equal passes of the ball and equitable opportunities to earn bonus money. This seemed even handed and did not demonstrate favouritism or preferrential treatment to one player over the other which I liked. I felt included in the game at all times. ",1
"8","Very satisfied, as I like to play fair and believed all players played very fair. I didn't think the game would be very fair and thought it might be bias so I am happy that it was fair gameplay between us all playing the game. So I am very satisfied.","Yes, the game play was very fair. All players involved in the game, Player 1, Player 2 and the treasurer all played the game very fair so I was very satisfied with the game play and the outcome of the game. It was very enjoyable considering it was fair play.  ","Very satisfied as both of us players got the same amount, and we both played the game very fairly with the interests of the other players in mind. There was nothing that went wrong or bias about how much money people made so we have both made the same amount from the task.","I like how they behaved in the game as they played very fairly, passing the ball to both players the same amount of times. There was never a time where they had passed the ball to one player more than once or made one of the players feel left out.","I like how they also played the game very fairly, I didn't expect this but I'm happy they did. They understood the rules of the game and how it would benefit both of us as players and played the game the exact same as I did, resulting in us both having the same bonus.","Thank you for playing the game fairly, it made the game very enjoyable and none of us felt left out and were both valued. It made the game much more pleasurable that we all played fairly, and worked as a team. So it was nice to see fair play rather than only passing the ball to one player.",1
"12","Not very as I didn't get the ball thrown to ""me"" that often so I didn't make much money. It was annoying more than anything else, and did leave me feeling mildly irritated more than anything else, esp as it looked like the other two people were cheating so that the other player could earn more money","No, the treasurer and the other player kept throwing the ball between themselves for most of the ""game"" with only a few throws to me. Which I wasn't happy about given it affected my bonus, I felt mild irritation more than anything else for the most part. It helped that the game didn't last that long as I didn't ""lose"" that much extra bonus money to the other player, and longer games would have boring just staring at the screen for the most part.","Reasonably, the amount I get paid for doing this survey is already fair per Prolific's rules and bonuses are cherry's on the top. The bonuses were actually quite low in this and weren't high enough to really affect my actions sorry :( That said I choose not to punish the other player so that I would get all of the bonus I made, as there's no point throwing good money after bad and I'd rather get all of it in the end.","No it didn't meet my expectations as I'd have thought it'd have been as closer to 50-50 as possible between the two other players. So it was annoying I didn't get nearly as much as the other player. The treasure looked like they were cheating with the other player or were favoring them somehow, which was between being odd/confusing/irrating.","SP2 was neutral in this and did exactly what I would have done if I'd gotten the ball from the treasurer as often as they did. they could have tossed it to me to be fairer, but it's impossible to tell what the treasurer was planning on doing later one.","I'd ask that they throw it to me more, as it sort of looked like they were purposively leaving me out. To play fairly and give both of us the same chance to make money via the bonus. If we could talk to each other I might make jokes about them knowing each other.",3
